1.5,1,3,0.1,0,600,14,19,U,UA,UUA
1.5,1,3,0.1,0,600,14,19,U,UA,UUA
1.5,1,3,0.1,0,600,14,20,U,UA,UUA
0,1,3,0.1,0,225.65,86,20,U,UA,UUA
0,1,3,0.1,0,600,8,15,U,UA,UUA
0,1,3,0.1,0,600,12,14,U,UA,UUA
0,1,3,10,0,107.616,28,22, ,UA, UA
0,1,3,10,0,159.394,25,18, ,UA, UA
0,1,3,10,0,132.388,38,20, ,UA, UA
0,1,3,10,0,114.621,28,21, ,UA, UA
0,1,3,10,0,131.502,34,18, ,UA, UA
4,1,3,10,1,110.914,20,59, , ,  
4,1,3,10,1,147.886,31,74, , ,  
4,1,3,10,1,116.369,26,73, , ,  
4,1,3,10,1,108.405,17,71, , ,  
2,1,3,10,1,138.279,24,46, , ,  
2,1,3,10,1,132.602,23,46, , ,  
2,1,3,10,1,153.391,33,49, , ,  
3.5,1,3,10,1,125.917,30,53, , ,  
3.5,1,3,10,1,106.162,27,58, , ,  
3.5,1,3,10,1,121.151,25,64, , ,  
3.5,1,3,10,1,135.125,27,68, , ,  
5,1,3,10,1,106.416,25,64,,,
5,1,3,10,1,132.448,20,55,,,
5,1,3,10,1,109.785,21,66,,,
5,1,3,10,1,109.684,22,63,,,
5,1,3,10,1,145.458,26,67,,,
