0,1,3,0.625,0,145.1951667,40,19.8,P,UA
1,0,3,100,0,65.78,28,0, ,UA
1.5,1,3,0,0,600,14,19.33333333,P,UA
2,1,3,100,1,135.4405,27,47, , 
3.5,1,3,100,1,122.08875,28,60.75, , 
4,0,3,100,1,71.26525,28,74.5, , 
4,1,3,100,1,120.8935,24,69.25, , 
0,1,4,0.454545455,0,136.1962,42,26.17,P,UA
1.5,1,4,0.75,0,180.146,28,37.25,P,UA
2,1,4,0.75,1,163.5943333,34,87.5,P, 
3,1,4,100,0,147.11075,25,97, ,UA
3.5,1,4,100,1,138.70725,31,106.5, , 
4,0,4,100,1,44.03125,25,117.75, , 
4,1,4,100,1,121.853,24,129.25, , 
5,1,4,100,1,203.6285,24,131.5, , 
